E(level)(keV),Jπ(level),E(γ)(keV),I(γ),M(γ),Final Levels,JPi(final)
1002.6 3,(17/2-),388.9 3,100 2,E 2,"797.5, 613.7","(15/2-), 13/2-"
1020.1 1,5/2-,707.9 2,10 3,E 2,"312.27, 241.90, 197.23, 81.49, 69.73","9/2-, 7/2-, 7/2-, 5/2-, 3/2-"
1020.1 1,5/2-,778.2 2,100 28,E 2,"312.27, 241.90, 197.23, 81.49, 69.73","9/2-, 7/2-, 7/2-, 5/2-, 3/2-"
1020.1 1,5/2-,822.8 2,62 17,E 2,"312.27, 241.90, 197.23, 81.49, 69.73","9/2-, 7/2-, 7/2-, 5/2-, 3/2-"
1020.1 1,5/2-,938.7 2,21 5,E 2,"312.27, 241.90, 197.23, 81.49, 69.73","9/2-, 7/2-, 7/2-, 5/2-, 3/2-"
1020.1 1,5/2-,950.4 2,48 14,E 2,"312.27, 241.90, 197.23, 81.49, 69.73","9/2-, 7/2-, 7/2-, 5/2-, 3/2-"
1060.0 3,21/2+,164.0 3,13.0 11,E 2,"896.0, 704.2","19/2+, 17/2+"
1060.0 3,21/2+,164.0 3,13.0 11,E 2,"896.0, 704.2","19/2+, 17/2+"
1060.0 3,21/2+,355.7 3,100.0 6,E 2,"896.0, 704.2","19/2+, 17/2+"
1060.0 3,21/2+,355.7 3,100.0 6,E 2,"896.0, 704.2","19/2+, 17/2+"
1078.3 4,(13/2+),511.0 3,,E 2,"567.4, 435.4","15/2+, 13/2+"
1078.3 4,(13/2+),643 1 ?,,E 2,"567.4, 435.4","15/2+, 13/2+"
1111.4 1,7/2+,660.0 2 ?,2.5 6,E 1,"451.5, 312.27, 197.23, 81.49","11/2-, 9/2-, 7/2-, 5/2-"
1111.4 1,7/2+,799.1 2,31 9,E 1,"451.5, 312.27, 197.23, 81.49","11/2-, 9/2-, 7/2-, 5/2-"
1111.4 1,7/2+,914.0 2,20 5,E 1,"451.5, 312.27, 197.23, 81.49","11/2-, 9/2-, 7/2-, 5/2-"
1111.4 1,7/2+,1030.0 2,100 12,E 1,"451.5, 312.27, 197.23, 81.49","11/2-, 9/2-, 7/2-, 5/2-"
1126.9 1,5/2-,864.6 2,100 26,E 2,"262.14, 81.49, 69.73, 0.0","9/2-, 5/2-, 3/2-, 1/2-"
1126.9 1,5/2-,1045.2 2,89 26,E 2,"262.14, 81.49, 69.73, 0.0","9/2-, 5/2-, 3/2-, 1/2-"
1126.9 1,5/2-,1057.3 2,16 4,E 2,"262.14, 81.49, 69.73, 0.0","9/2-, 5/2-, 3/2-, 1/2-"
1126.9 1,5/2-,1127.0 2,32 8,E 2,"262.14, 81.49, 69.73, 0.0","9/2-, 5/2-, 3/2-, 1/2-"
1192.6 2,5/2-,995.4 2,88 24,E 2,"197.23, 107.16","7/2-, 5/2-"
1192.6 2,5/2-,1085.5 2,100 29,E 2,"197.23, 107.16","7/2-, 5/2-"
1208.4 3,(15/2+),130.2 3,100 38,E 2,"1078.3, 704.2, 567.4","(13/2+), 17/2+, 15/2+"
1208.4 3,(15/2+),504.2 3,≤38,E 2,"1078.3, 704.2, 567.4","(13/2+), 17/2+, 15/2+"
1208.4 3,(15/2+),641 1 ?,≤38,E 2,"1078.3, 704.2, 567.4","(13/2+), 17/2+, 15/2+"
1225.8 3,(19/2-),223.2 3,16 5,E 2,"1002.6, 797.5","(17/2-), (15/2-)"
1225.8 3,(19/2-),223.2 3,16 5,E 2,"1002.6, 797.5","(17/2-), (15/2-)"
1225.8 3,(19/2-),428.3 3,100.0 15,E 2,"1002.6, 797.5","(17/2-), (15/2-)"
1225.8 3,(19/2-),428.3 3,100.0 15,E 2,"1002.6, 797.5","(17/2-), (15/2-)"
1248.5 1,7/2-,739.6 4,≈19,E 2,"508.6, 262.14, 241.90, 81.49, 69.73","11/2-, 9/2-, 7/2-, 5/2-, 3/2-"
1248.5 1,7/2-,986.5 2,13 3,E 2,"508.6, 262.14, 241.90, 81.49, 69.73","11/2-, 9/2-, 7/2-, 5/2-, 3/2-"
1248.5 1,7/2-,1006.6 2,100 25,E 2,"508.6, 262.14, 241.90, 81.49, 69.73","11/2-, 9/2-, 7/2-, 5/2-, 3/2-"
1248.5 1,7/2-,1166.9 2,16 4,E 2,"508.6, 262.14, 241.90, 81.49, 69.73","11/2-, 9/2-, 7/2-, 5/2-, 3/2-"
1248.5 1,7/2-,1178.7 2,47 13,E 2,"508.6, 262.14, 241.90, 81.49, 69.73","11/2-, 9/2-, 7/2-, 5/2-, 3/2-"
1294.4 4,19/2-,400 1,≤2.6,E 2,"895.0, 862.2","17/2-, 15/2-"
1294.4 4,19/2-,432.2 3,100.0 15,E 2,"895.0, 862.2","17/2-, 15/2-"
1317.5 4,23/2+,257.5 3,19.5 24,E 2,"1060.0, 896.0","21/2+, 19/2+"
1317.5 4,23/2+,421.5 3,100 5,E 2,"1060.0, 896.0","21/2+, 19/2+"
1330.5 4,21/2-,435.4 3,100 0,E 2,895,17/2-
1355.2 3,(17/2+),146.8 3,87 78,E 2,"1208.4, 1078.3, 896.0, 704.2","(15/2+), (13/2+), 19/2+, 17/2+"
1355.2 3,(17/2+),277 1 ?,≤22,E 2,"1208.4, 1078.3, 896.0, 704.2","(15/2+), (13/2+), 19/2+, 17/2+"
1355.2 3,(17/2+),459.2 3,100 17,E 2,"1208.4, 1078.3, 896.0, 704.2","(15/2+), (13/2+), 19/2+, 17/2+"
1355.2 3,(17/2+),651.0 3,48 2,E 2,"1208.4, 1078.3, 896.0, 704.2","(15/2+), (13/2+), 19/2+, 17/2+"
1450.2 1,9/2+,942.0 2 ?,6.5 20,E 1,"508.6, 241.90, 197.23, 107.16, 81.49, 69.73","11/2-, 7/2-, 7/2-, 5/2-, 5/2-, 3/2-"
1450.2 1,9/2+,1208.2 2,100 10,E 1,"508.6, 241.90, 197.23, 107.16, 81.49, 69.73","11/2-, 7/2-, 7/2-, 5/2-, 5/2-, 3/2-"
1450.2 1,9/2+,1253.0 2,5.9 20,E 1,"508.6, 241.90, 197.23, 107.16, 81.49, 69.73","11/2-, 7/2-, 7/2-, 5/2-, 5/2-, 3/2-"
1450.2 1,9/2+,1343.2 2,<6.5,E 1,"508.6, 241.90, 197.23, 107.16, 81.49, 69.73","11/2-, 7/2-, 7/2-, 5/2-, 5/2-, 3/2-"
1450.2 1,9/2+,1368.2 2,14 4,E 1,"508.6, 241.90, 197.23, 107.16, 81.49, 69.73","11/2-, 7/2-, 7/2-, 5/2-, 5/2-, 3/2-"
1450.2 1,9/2+,1380.3 2,20 5,E 1,"508.6, 241.90, 197.23, 107.16, 81.49, 69.73","11/2-, 7/2-, 7/2-, 5/2-, 5/2-, 3/2-"
1467.2 3,(21/2-),241.5 3,15 5,E 2,"1225.8, 1002.6","(19/2-), (17/2-)"
1467.2 3,(21/2-),464.7 3,100 2,E 2,"1225.8, 1002.6","(19/2-), (17/2-)"
1473.2 4,(17/2-),578.2 3,100 0,E 2,895,17/2-
1498.1 4,25/2+,180.4 3,4.2 24,E 2,"1317.5, 1060.0","23/2+, 21/2+"
1498.1 4,25/2+,438.3 3,100.0 6,E 2,"1317.5, 1060.0","23/2+, 21/2+"
1521 1,(19/2+),166 1 ?,100 0,E 2,1355.2,(17/2+)
1574.1 2,3/2-,1332.4 4,71 19,E 2,"241.90, 81.49, 69.73, 0.0","7/2-, 5/2-, 3/2-, 1/2-"
1574.1 2,3/2-,1492.5 3,100 26,E 2,"241.90, 81.49, 69.73, 0.0","7/2-, 5/2-, 3/2-, 1/2-"
1574.1 2,3/2-,1504.3 3,57 14,E 2,"241.90, 81.49, 69.73, 0.0","7/2-, 5/2-, 3/2-, 1/2-"
1574.1 2,3/2-,1574.2 3 ?,<270,E 2,"241.90, 81.49, 69.73, 0.0","7/2-, 5/2-, 3/2-, 1/2-"
1655.5 2,5/2-,1343.2 2 ?,<24,E 2,"312.27, 262.14, 241.90, 81.49, 69.73","9/2-, 9/2-, 7/2-, 5/2-, 3/2-"
1655.5 2,5/2-,1393.5 3,100 27,E 2,"312.27, 262.14, 241.90, 81.49, 69.73","9/2-, 9/2-, 7/2-, 5/2-, 3/2-"
1655.5 2,5/2-,1413.5 3,17 4,E 2,"312.27, 262.14, 241.90, 81.49, 69.73","9/2-, 9/2-, 7/2-, 5/2-, 3/2-"
1655.5 2,5/2-,1574.2 3,<46,E 2,"312.27, 262.14, 241.90, 81.49, 69.73","9/2-, 9/2-, 7/2-, 5/2-, 3/2-"
1655.5 2,5/2-,1585.7 3,<15,E 2,"312.27, 262.14, 241.90, 81.49, 69.73","9/2-, 9/2-, 7/2-, 5/2-, 3/2-"
1667.3 2,5/2-,1405.3 3,39 9,E 2,"262.14, 241.90, 81.49, 69.73","9/2-, 7/2-, 5/2-, 3/2-"
1667.3 2,5/2-,1425.2 5,50 13,E 2,"262.14, 241.90, 81.49, 69.73","9/2-, 7/2-, 5/2-, 3/2-"
1667.3 2,5/2-,1585.7 3,<38,E 2,"262.14, 241.90, 81.49, 69.73","9/2-, 7/2-, 5/2-, 3/2-"
1667.3 2,5/2-,1597.6 3,100 25,E 2,"262.14, 241.90, 81.49, 69.73","9/2-, 7/2-, 5/2-, 3/2-"
1694.5 2,5/2-,1432.2 3,100 25,E 2,"262.14, 241.90, 81.49","9/2-, 7/2-, 5/2-"
1694.5 2,5/2-,1452.7 5,,E 2,"262.14, 241.90, 81.49","9/2-, 7/2-, 5/2-"
1694.5 2,5/2-,1613.2 3,84 22,E 2,"262.14, 241.90, 81.49","9/2-, 7/2-, 5/2-"
1700.5 3,19/2+,345.2 3,22 4,E 2,"1355.2, 1317.5, 1208.4, 1060.0, 896.0, 704.2, 567.4","(17/2+), 23/2+, (15/2+), 21/2+, 19/2+, 17/2+, 15/2+"
1700.5 3,19/2+,383.0 3,3.3 22,E 2,"1355.2, 1317.5, 1208.4, 1060.0, 896.0, 704.2, 567.4","(17/2+), 23/2+, (15/2+), 21/2+, 19/2+, 17/2+, 15/2+"
1700.5 3,19/2+,492.2 3,4.4 7,E 2,"1355.2, 1317.5, 1208.4, 1060.0, 896.0, 704.2, 567.4","(17/2+), 23/2+, (15/2+), 21/2+, 19/2+, 17/2+, 15/2+"
1700.5 3,19/2+,640.5 3,45 13,E 2,"1355.2, 1317.5, 1208.4, 1060.0, 896.0, 704.2, 567.4","(17/2+), 23/2+, (15/2+), 21/2+, 19/2+, 17/2+, 15/2+"
1700.5 3,19/2+,804.6 3,32 9,E 2,"1355.2, 1317.5, 1208.4, 1060.0, 896.0, 704.2, 567.4","(17/2+), 23/2+, (15/2+), 21/2+, 19/2+, 17/2+, 15/2+"
1700.5 3,19/2+,996.2 3,100 8,E 2,"1355.2, 1317.5, 1208.4, 1060.0, 896.0, 704.2, 567.4","(17/2+), 23/2+, (15/2+), 21/2+, 19/2+, 17/2+, 15/2+"
1700.5 3,19/2+,1132.3 3,6 3,E 2,"1355.2, 1317.5, 1208.4, 1060.0, 896.0, 704.2, 567.4","(17/2+), 23/2+, (15/2+), 21/2+, 19/2+, 17/2+, 15/2+"
1722.3 4,(23/2-),255 1,12 6,E 2,"1467.2, 1225.8","(21/2-), (19/2-)"
1722.3 4,(23/2-),496.5 3,100.0 24,E 2,"1467.2, 1225.8","(21/2-), (19/2-)"
1796.4 5,(23/2-),502.0 3,100 0,E 2,1294.4,19/2-
1812.9 4,(21/2-),339.7 3,94 12,E 2,"1473.2, 1330.5","(17/2-), 21/2-"
1812.9 4,(21/2-),482.4 3,100 18,E 2,"1473.2, 1330.5","(17/2-), 21/2-"
1817.3 4,21/2+,116.8 3,100 0,E 2,1700.5,19/2+
1822.4 4,27/2+,324.2 3,11 4,E 2,"1498.1, 1317.5","25/2+, 23/2+"
1822.4 4,27/2+,504.9 3,100 7,E 2,"1498.1, 1317.5","25/2+, 23/2+"
1832.5 4,(25/2-),502.0 3,100 0,E 2,1330.5,21/2-
1982.1 5,(23/2)-,164.8 3,100 0,E 1,1817.3,21/2+
1989.5 4,(25/2-),267 1,7 4,E 2,"1722.3, 1467.2","(23/2-), (21/2-)"
1989.5 4,(25/2-),522.3 3,100 3,E 2,"1722.3, 1467.2","(23/2-), (21/2-)"
2006.5 5,(23/2+),189.2 3,100 7,E 2,"1817.3, 1700.5","21/2+, 19/2+"
2006.5 5,(23/2+),306 1 ?,≤4.2,E 2,"1817.3, 1700.5","21/2+, 19/2+"
2014.3 4,29/2+,192.0 3,2.2 17,E 2,"1822.4, 1498.1","27/2+, 25/2+"
2014.3 4,29/2+,516.2 3,100 6,E 2,"1822.4, 1498.1","27/2+, 25/2+"
2145.3 6,(25/2-),163.3 3,100 0,E 2,1982.1,(23/2)-
2191.0 4,(25/2-),358.5 3,30 12,E 2,"1832.5, 1812.9","(25/2-), (21/2-)"
2191.0 4,(25/2-),378.0 3,100 9,E 2,"1832.5, 1812.9","(25/2-), (21/2-)"
2223.1 5,(25/2+),216.6 3,100 9,E 2,"2006.5, 1817.3","(23/2+), 21/2+"
2223.1 5,(25/2+),405.8 3,18 6,E 2,"2006.5, 1817.3","(23/2+), 21/2+"
2263.6 5,(27/2-),274 1,6 4,E 2,"1989.5, 1722.3","(25/2-), (23/2-)"
2263.6 5,(27/2-),541.3 3,100 3,E 2,"1989.5, 1722.3","(25/2-), (23/2-)"
2263.6 3,5/2-,2001.3 5,100 25,E 2,"262.14, 241.90, 81.49","9/2-, 7/2-, 5/2-"
2263.6 3,5/2-,2022.7 6,,E 2,"262.14, 241.90, 81.49","9/2-, 7/2-, 5/2-"
2263.6 3,5/2-,2182.0 4,67 17,E 2,"262.14, 241.90, 81.49","9/2-, 7/2-, 5/2-"
2354.2 6,(27/2-),209.1 3,100 13,E 2,"2145.3, 1982.1","(25/2-), (23/2)-"
2354.2 6,(27/2-),372.0 3,8 3,E 2,"2145.3, 1982.1","(25/2-), (23/2)-"
2357.9 6,(27/2-),561.5 3,100 0,E 2,1796.4,(23/2-)
2392.7 5,(29/2-),560.1 3,100 0,E 2,1832.5,(25/2-)
2397.8 5,31/2+,383.5 3,5.5 23,E 2,"2014.3, 1822.4","29/2+, 27/2+"
2397.8 5,31/2+,575.3 3,100 11,E 2,"2014.3, 1822.4","29/2+, 27/2+"
2464.8 5,(27/2+),241.7 3,100 29,E 2,"2223.1, 2006.5","(25/2+), (23/2+)"
2464.8 5,(27/2+),458.4 3,77 13,E 2,"2223.1, 2006.5","(25/2+), (23/2+)"
2539.4 4,(29/2-),550.0 3,100 0,E 2,1989.5,(25/2-)
2596.2 6,(29/2-),242.0 3,100 19,E 2,"2354.2, 2145.3","(27/2-), (25/2-)"
2596.2 6,(29/2-),450.8 3,22 4,E 2,"2354.2, 2145.3","(27/2-), (25/2-)"
2601.6 5,33/2+,203.7 3,1.9 17,E 2,"2397.8, 2014.3","31/2+, 29/2+"
2601.6 5,33/2+,587.4 3,100 10,E 2,"2397.8, 2014.3","31/2+, 29/2+"
2617.6 5,(29/2-),426.6 3,100 0,E 2,2191,(25/2-)
2729.3 5,(29/2+),264.4 3,100 17,E 2,"2464.8, 2223.1","(27/2+), (25/2+)"
2729.3 5,(29/2+),506.1 3,87 15,E 2,"2464.8, 2223.1","(27/2+), (25/2+)"
2814.7 7,(29/2-),460.5 3,100 0,E 2,2354.2,(27/2-)
2818.3 6,(31/2-),554.7 3,100 0,E 2,2263.6,"5/2-,7/2"
2865.5 6,(31/2-),269.2 3,100 20,E 2,"2596.2, 2354.2","(29/2-), (27/2-)"
2865.5 6,(31/2-),511.3 3,32 5,E 2,"2596.2, 2354.2","(29/2-), (27/2-)"
2969.6 7,(31/2-),611.7 3,100 0,E 2,2357.9,(27/2-)
3001.5 5,(33/2-),608.8 3,100 0,E 2,2392.7,(29/2-)
3015.0 6,(31/2+),285.7 3,49 9,E 2,"2729.3, 2464.8","(29/2+), (27/2+)"
3015.0 6,(31/2+),550.3 3,100 13,E 2,"2729.3, 2464.8","(29/2+), (27/2+)"
3028.2 5,35/2+,426.6 3,7 3,E 2,"2601.6, 2397.8","33/2+, 31/2+"
3028.2 5,35/2+,630.4 3,100 16,E 2,"2601.6, 2397.8","33/2+, 31/2+"
3070.5 7,(31/2-),255.8 3,100 0,E 2,2814.7,(29/2-)
3094.7 5,(33/2-),555.4 3,100 0,E 2,2539.4,(29/2-)
3105.2 4,(33/2-),487.6 3,63 8,E 2,"2617.6, 2539.4","(29/2-), (29/2-)"
3105.2 4,(33/2-),565.8 3,100 23,E 2,"2617.6, 2539.4","(29/2-), (29/2-)"
3159.4 6,(33/2-),293.8 3,100 28,E 2,"2865.5, 2596.2","(31/2-), (29/2-)"
3159.4 6,(33/2-),563.3 3,45 7,E 2,"2865.5, 2596.2","(31/2-), (29/2-)"
3251.5 6,37/2+,649.9 3,100 0,E 2,2601.6,33/2+
3320.0 6,(33/2+),304.8 3,69 18,E 2,"3015.0, 2729.3","(31/2+), (29/2+)"
3320.0 6,(33/2+),590.7 3,100 33,E 2,"3015.0, 2729.3","(31/2+), (29/2+)"
3346.9 7,(33/2-),276.4 3,100 17,E 2,"3070.5, 2814.7","(31/2-), (29/2-)"
3346.9 7,(33/2-),532.2 3,29 7,E 2,"3070.5, 2814.7","(31/2-), (29/2-)"
3382.7 6,(35/2-),564.4 3,100 0,E 2,2818.3,(31/2-)
3474.8 6,(35/2-),315.5 3,100 33,E 2,"3159.4, 2865.5","(33/2-), (31/2-)"
3474.8 6,(35/2-),609.3 3,76 13,E 2,"3159.4, 2865.5","(33/2-), (31/2-)"
3625.5 7,(35/2-),655.9 3,100 0,E 2,2969.6,(31/2-)
3640.0 5,(37/2-),535 1 ?,≤6,E 2,"3105.2, 3094.7, 3001.5","(33/2-), (33/2-), (33/2-)"
3640.0 5,(37/2-),545.3 3,19 8,E 2,"3105.2, 3094.7, 3001.5","(33/2-), (33/2-), (33/2-)"
3640.0 5,(37/2-),638.4 3,100 13,E 2,"3105.2, 3094.7, 3001.5","(33/2-), (33/2-), (33/2-)"
3642.2 7,(35/2-),295.3 3,100 29,E 2,"3346.9, 3070.5","(33/2-), (31/2-)"
3642.2 7,(35/2-),571.7 3,66 11,E 2,"3346.9, 3070.5","(33/2-), (31/2-)"
3643.1 6,(35/2+),323.1 3,70 32,E 2,"3320.0, 3015.0","(33/2+), (31/2+)"
3643.1 6,(35/2+),628.1 3,100 24,E 2,"3320.0, 3015.0","(33/2+), (31/2+)"
3660.9 5,(37/2-),659.4 3,100 0,E 2,3001.5,(33/2-)
3685.5 5,(37/2-),580.3 3,71 24,E 2,"3105.2, 3094.7","(33/2-), (33/2-)"
3685.5 5,(37/2-),590.8 3,100 29,E 2,"3105.2, 3094.7","(33/2-), (33/2-)"
3701.9 6,39/2+,673.7 3,100 0,E 2,3028.2,35/2+
3811.1 7,(37/2-),336.3 3,100 30,E 2,"3474.8, 3159.4","(35/2-), (33/2-)"
3811.1 7,(37/2-),651.8 3,73 15,E 2,"3474.8, 3159.4","(35/2-), (33/2-)"
3954.5 6,(41/2+),703.0 3,100 0,E 2,3251.5,37/2+
3959.0 7,(37/2-),316.8 3,100 34,E 2,"3642.2, 3346.9","(35/2-), (33/2-)"
